"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2"
"1",NA,0,1.77156,0,1.77156,1.77156,100,1.000002,1,0
"2",NA,1,1.77156,0,1.77156,1.77156,100,0,1,0
"3",NA,2,1.77156,0,1.77156,1.77156,100,0,1,0
"4",NA,3,1.77156,0,1.77156,1.77156,100,0,1,0
"5",NA,4,1.77156,0,1.77156,1.77156,100,0,1,0
"6",NA,5,1.77156,0,1.77156,1.77156,100,0,1,0
"7",NA,6,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"8",NA,7,1.77156,0,1.77156,1.77156,100,0,1,0
"9",NA,8,1.77156,0,1.77156,1.77156,100,0,1,0
"10",NA,9,1.77156,0,1.77156,1.77156,100,0,1,0
"11",NA,10,1.77156,0,1.77156,1.77156,100,0,1,0
"12",NA,11,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"13",NA,12,1.77156,0,1.77156,1.77156,100,0,1,0
"14",NA,13,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"15",NA,14,1.77156,0,1.77156,1.77156,100,0,1,0
"16",NA,15,1.77156,0,1.77156,1.77156,100,0,1,0
"17",NA,16,1.77156,0,1.77156,1.77156,100,0,1,0
"18",NA,17,1.77156,0,1.77156,1.77156,100,0,1,0
"19",NA,18,1.77156,0,1.77156,1.77156,100,0,1,0
"20",NA,19,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"21",NA,20,1.77156,0,1.77156,1.77156,100,0,1,0
"22",NA,21,1.7361288,0.0621344714530909,0,1.77156,100,0,0.98,0.02
"23",NA,22,1.77156,0,1.77156,1.77156,100,0,1,0
"24",NA,23,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,1,0
"26",NA,25,1.77156,0,1.77156,1.77156,100,0,1,0
"27",NA,26,1.77156,0,1.77156,1.77156,100,0,1,0
"28",NA,27,1.77156,0,1.77156,1.77156,100,0,1,0
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,1,0
"30",NA,29,1.77156,0,1.77156,1.77156,100,0,1,0
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,1,0
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,1,0
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,1,0
"34",NA,33,1.77156,0,1.77156,1.77156,100,0,1,0
"35",NA,34,1.77156,0,1.77156,1.77156,100,0,1,0
"36",NA,35,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0.01
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,1,0
"38",NA,37,1.77156,0,1.77156,1.77156,100,0,1,0
"39",NA,38,1.77156,0,1.77156,1.77156,100,0,1,0
"40",NA,39,1.77156,0,1.77156,1.77156,100,0,1,0
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,1,0
"42",NA,41,1.77156,0,1.77156,1.77156,100,0,1,0
"43",NA,42,1.77156,0,1.77156,1.77156,100,0,1,0
"44",NA,43,1.77156,0,1.77156,1.77156,100,0,1,0
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,1,0
"46",NA,45,1.77156,0,1.77156,1.77156,100,0,1,0
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,1,0
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,1,0
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,1,0
"50",NA,49,1.77156,0,1.77156,1.77156,100,0,1,0
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,1,0
"52",NA,51,1.77156,0,1.77156,1.77156,100,0,1,0
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,1,0
"54",NA,53,1.77156,0,1.77156,1.77156,100,0,1,0
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,1,0
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,1,0
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,1,0
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,1,0
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,1,0
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,1,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,1,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,1,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,1,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,1,0
