"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7"
"1",NA,0,1.5865248,0.0477586691646061,1.331,1.77156,100,1.000002,0.42,0.58,0,0,0,0,0
"2",NA,1,1.331,0,1.331,1.331,100,1.099998,1,0,0,0,0,0,0
"3",NA,2,1.4235176,0.0325253005517576,1.331,1.77156,100,0,0.79,0.21,0,0,0,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.210002,1,0,0,0,0,0,0
"5",NA,4,1.55128,0.0490134125252525,1.331,1.77156,100,0,0.5,0.5,0,0,0,0,0
"6",NA,5,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"7",NA,6,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0,0,0,0,0,0
"9",NA,8,1.5821192,0.0480527496397576,1.331,1.77156,100,0,0.43,0.57,0,0,0,0,0
"10",NA,9,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"11",NA,10,1.3685084,0.254133277003475,0,1.77156,100,0,0.5,0.39,0.1,0.01,0,0,0
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"13",NA,12,1.5152896,0.238246139704889,0,1.77156,100,0,0.26,0.66,0.08,0,0,0,0
"14",NA,13,1.3284575,0.236583734382576,0,1.77156,100,0,0.6,0.29,0.1,0,0.01,0,0
"15",NA,14,1.3369891,0.311803600527465,0,1.77156,100,0,0.46,0.4,0.13,0,0.01,0,0
"16",NA,15,1.3442168,0.0057051612179394,1.331,1.77156,100,0,0.97,0.03,0,0,0,0,0
"17",NA,16,1.683448,0.0313685840161616,1.331,1.77156,100,0,0.2,0.8,0,0,0,0,0
"18",NA,17,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"19",NA,18,1.3748232,0.305626899529051,0,1.77156,100,0,0.39,0.47,0.12,0.01,0,0.01,0
"20",NA,19,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"21",NA,20,1.4665484,0.303755488849939,0,1.77156,100,0,0.25,0.64,0.11,0,0,0,0
"22",NA,21,1.3225878,0.233948043231475,0,1.77156,100,0,0.61,0.28,0.1,0,0,0,0.01
"23",NA,22,1.4004644,0.288032356360242,0,1.77156,100,0,0.4,0.49,0.11,0,0,0,0
"24",NA,23,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"26",NA,25,1.43149,0.248877582525253,0,1.77156,100,0,0.41,0.5,0.09,0,0,0,0
"27",NA,26,1.6094178,0.164274104395111,0,1.77156,100,0,0.16,0.78,0.05,0,0,0,0.01
"28",NA,27,1.4935412,0.164734169065212,0,1.77156,100,0,0.43,0.52,0.05,0,0,0,0
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"30",NA,29,1.4619564,0.350583434023273,0,1.77156,100,0,0.18,0.69,0.13,0,0,0,0
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,0,1,0,0,0,0,0
"34",NA,33,1.5248464,0.0483076193848889,1.331,1.77156,100,0,0.56,0.44,0,0,0,0,0
"35",NA,34,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"36",NA,35,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"38",NA,37,1.3296952,0.332864591120162,0,1.77156,100,0,0.44,0.42,0.14,0,0,0,0
"39",NA,38,1.6187627,0.0922804318643535,0,1.77156,100,0,0.25,0.71,0.02,0.01,0.01,0,0
"40",NA,39,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"42",NA,41,1.426898,0.295380299066667,0,1.77156,100,0,0.34,0.55,0.11,0,0,0,0
"43",NA,42,1.6122128,0.235804223317333,0,1.77156,100,0,0.04,0.88,0.08,0,0,0,0
"44",NA,43,1.4657112,0.209027264309657,0,1.77156,100,0,0.4,0.52,0.07,0.01,0,0,0
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"46",NA,45,1.5241286,0.262900515775798,0,1.77156,100,0,0.18,0.71,0.09,0.01,0,0,0.01
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,0,1,0,0,0,0,0
"50",NA,49,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"52",NA,51,1.5951496,0.0947047109048889,0,1.77156,100,0,0.32,0.66,0.02,0,0,0,0
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"54",NA,53,1.5623271,0.191341283562212,0,1.77156,100,0,0.23,0.7,0.06,0,0.01,0,0
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,0,1,0,0,0,0,0
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,0,1,0,0,0,0,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,0,1,0,0,0,0,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,0,1,0,0,0,0,0
